variant,model_type,train_auc,train_ks,test_auc,test_ks,oot_auc,oot_ks,feature_count
xgb_lgb_ensemble,ensemble,0.7666600117938127,0.3924634924917802,0.6748372837701437,0.27287598760920256,0.6904825525677886,0.2970911550820227,200
baseline_xgb,xgboost,0.7483361367211895,0.3618637705820529,0.6737148028262155,0.26611847829870183,0.6891428490895766,0.2914087603585321,200
xgb_platt_calibrated,xgboost_calibrated,0.7483361367211895,0.3618637705820529,0.6737148028262155,0.26611847829870183,0.6891428490895766,0.2914087603585321,200
baseline_lgb,lightgbm,0.786153748234736,0.4217489223457937,0.6737304653510146,0.26404754446416756,0.6877924347482948,0.29191611703027226,200
group_xgb,xgboost,0.7409109306014627,0.3496852444604983,0.6700306289373847,0.2552747902961958,0.6843773606178476,0.2915947911381701,200
group_interact_xgb_fast,xgboost,0.7409109306014627,0.3496852444604983,0.6700306289373847,0.2552747902961958,0.6843773606178476,0.2915947911381701,200
